Day,Predator
0,2
1,1.2058
2,0.763536
3,0.518536
4,0.387776
5,0.330382
6,0.335111
7,0.427894
8,0.734749
9,1.79655
10,5.95228
11,16.6539
12,20.9762
13,15.0489
14,9.12565
15,5.28551
16,3.04978
17,1.7914
18,1.08974
19,0.699115
20,0.48348
21,0.370594
22,0.326384
23,0.345951
24,0.467843
25,0.863059
26,2.27802
27,7.74074
28,18.7902
29,20.0401
30,13.6279
31,8.14396
32,4.70559
33,2.72336
34,1.61064
35,0.990249
36,0.644945
37,0.455351
38,0.358929
39,0.328134
40,0.365373
41,0.5266
42,1.04986
43,2.9874
44,10.0694
45,20.3828
46,18.6724
47,12.158
48,7.18404
49,4.14858
50,2.41238
51,1.43943
52,0.896779
53,0.59497
54,0.43078
55,0.351243
56,0.335879
57,0.396741
58,0.616618
59,1.34363
60,4.1136
61,13.046
62,21.1462
63,16.9619
64,10.6402
65,6.22652
66,3.59651
67,2.1033
68,1.26797
69,0.802084
70,0.543601
71,0.405181
72,0.343519
73,0.345984
74,0.437404
75,0.740836
76,1.77921
77,5.78858
78,16.2191
79,20.8474
80,15.1379
81,9.23055
82,5.36379
83,3.10258
84,1.82646
85,1.11358
86,0.71618
87,0.496703
88,0.382031
89,0.337839
90,0.359848
91,0.489365
92,0.907739
93,2.40086
94,8.05406
95,18.8804
96,19.6966
97,13.3518
98,7.98796
99,4.62654
100,2.68617
101,1.59511
102,0.98581
103,0.646362
104,0.460322
105,0.366949
106,0.34038
107,0.386127
108,0.569512
109,1.16532
110,3.37795
111,11.0709
112,20.5956
113,17.9601
114,11.5598
115,6.82116
116,3.9477
117,2.30545
118,1.38425
119,0.869793
120,0.583697
121,0.429074
122,0.356921
123,0.350365
124,0.428074
125,0.693866
126,1.58351
127,4.97478
128,14.7029
129,20.9432
130,15.8999
131,9.83561
132,5.74369
133,3.32622
134,1.95612
135,1.18925
136,0.761216
137,0.524227
138,0.399204
139,0.348213
140,0.36406
141,0.482979
142,0.867956
143,2.2163
144,7.32085
145,18.0356
146,19.9722
147,13.8285
148,8.33374
149,4.83978
150,2.81183
151,1.66871
152,1.02951
153,0.673043
154,0.477226
155,0.378058
156,0.347664
157,0.389768
158,0.565908
159,1.13508
160,3.22284
161,10.5399
162,20.2646
163,18.1586
164,11.8003
165,6.99015
166,4.0529
167,2.36898
168,1.42283
169,0.89388
170,0.599463
171,0.440119
172,0.365387
173,0.357616
174,0.435061
175,0.700883
176,1.58604
177,4.93271
178,14.5164
179,20.8179
180,15.9064
181,9.87178
182,5.77669
183,3.35082
184,1.97366
185,1.2019
186,0.770762
187,0.531992
188,0.406224
189,0.355528
190,0.373234
191,0.497554
192,0.898742
193,2.30217
194,7.55188
195,18.1518
196,19.7414
197,13.6221
198,8.21207
199,4.77606
200,2.78061
201,1.65468
202,1.02446
203,0.672792
204,0.479879
205,0.383094
206,0.355818
207,0.404017
208,0.595915
209,1.21652
210,3.49627
211,11.2084
212,20.3806
213,17.6918
214,11.4091
215,6.75183
216,3.92032
217,2.29803
218,1.386
219,0.875734
220,0.591816
221,0.438951
222,0.369343
223,0.367888
224,0.457772
225,0.758261
226,1.76751
227,5.5667
228,15.5246
229,20.547
230,15.2299
231,9.3805
232,5.48504
233,3.1883
234,1.88551
235,1.15508
236,0.746869
237,0.521268
238,0.40399
239,0.360583
240,0.388388
241,0.535047
242,1.00543
243,2.67404
244,8.73129
245,19.0479
246,19.007
247,12.7926
248,7.66732
249,4.46143
250,2.60683
251,1.56076
252,0.974815
253,0.647933
254,0.469681
255,0.383109
256,0.366072
257,0.431282
258,0.666401
259,1.43466
260,4.28449
261,13.035
262,20.6106
263,16.5891
264,10.4773
265,6.17127
266,3.58807
267,2.11355
268,1.28497
269,0.821289
270,0.563865
271,0.427233
272,0.36985
273,0.382462
274,0.499565
275,0.878641
276,2.18175
277,7.01943
278,17.4019
279,19.8402
280,13.9579
281,8.47804
282,4.94798
283,2.88594
284,1.7189
285,1.06447
286,0.698805
287,0.497904
288,0.396725
289,0.367362
290,0.415219
291,0.608311
292,1.22974
293,3.48774
294,11.0492
295,20.1379
296,17.6372
297,11.432
298,6.78708
299,3.95075
300,2.32138
301,1.40361
302,0.889406
303,0.603112
304,0.449203
305,0.379925
306,0.380843
307,0.477528
308,0.797729
309,1.87224
310,5.86919
311,15.8338
312,20.2668
313,14.8926
314,9.16787
315,5.37007
316,3.13028
317,1.8582
318,1.14395
319,0.7444
320,0.523868
321,0.410402
322,0.371455
323,0.407322
324,0.573789
325,1.10615
326,3.00258
327,9.63191
328,19.4442
329,18.366
330,12.1902
331,7.29078
332,4.2504
333,2.49374
334,1.50213
335,0.946025
336,0.635829
337,0.467751
338,0.389011
339,0.381252
340,0.464039
341,0.746458
342,1.67866
343,5.12734
344,14.5625
345,20.4019
346,15.5872
347,9.71353
348,5.71081
349,3.32958
350,1.97268
351,1.20979
352,0.782632
353,0.546173
354,0.422951
355,0.376853
356,0.404677
357,0.554693
358,1.03391
359,2.71417
360,8.7013
361,18.7826
362,18.8188
363,12.7342
364,7.66319
365,4.47449
